,Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date
100,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Arkan.,9384,189,JKT - BDG,False,0,15,2019-07-27 10:01:17
101,"Gunung Tangkuban Parahu Berpotensi Erupsi Susulan, Ini Rekomendasi PVMBG

https://t.co/StcADdM5hX",MNC NEWSROOM,148415,17062,Jakarta,True,0,0,2019-07-27 09:56:34
102,RT @Jasoon27: Erupsi gunung api tangkuban parahu kembali terjadi. Terakhir terjadi tahun 2013. https://t.co/9YvBtj0YqO,OWL,88866,1734,"INDONESIA,ENJOY JAKARTA",False,0,1,2019-07-27 09:54:10
103,"RT @negativisme: Gunung Tangkuban Parahu erupsi, semoga semua baik-baik saja. Al Fatihah

sumber vid : WA Grup yg udah adem karena sudah re…",vrunk,19842,746,"Pekalongan, Jawa Tengah",False,0,266,2019-07-27 09:52:35
104,"RT @NEZTAUTV: #NEZTBreakingNews
📍The East Kuningan, Gunung Tangkuban Parahu Bandung.
July, 27th 2019.
BREAKING NEWS: Gunung Tangkuban Parah…",Ayana.,718,71,,False,0,15,2019-07-27 09:50:56
105,"RT @merapi_news: Gunung Tangkuban Parahu jam 17:00 erupsi
#tabgkubanparahuerupsi https://t.co/j4bRU4hz9x |@JamilFaisal4",Aggie Jacenta Ulrikayanti,47761,1193,"Yogyakarta, Indonesia",False,0,198,2019-07-27 09:49:58
106,"RT @backpacker_tch: Innalillahi wainnailaihi rojiun.
Kami keluarga besar Backpacker Teaching turut berduka atas terjadinya bencana alam eru…",Dzul Fahmi,5029,341," ÜT: -6.19741,106.766135",False,0,7,2019-07-27 09:48:44
107,"RT @RadioElshinta: Kapolda Jabar, Irjen Pol Rudy Sufahriadi meninjau lokasi kawasan wisata Gunung Tangkuban Parahu, pasca-erupsi, Jumat (26…",Kang mancing,1057,79,"DKI Jakarta, Indonesia ",False,0,5,2019-07-27 09:48:12
108,RT @BNPB_Indonesia: Gunungapi Tangkuban Parahu merupakan gunung api aktif yg berada di wilayah administrasi Kabupaten Bandung Barat  Kabupa…,Helloblue8,7,0,,False,0,11,2019-07-27 09:47:20
109,"RT @negativisme: Gunung Tangkuban Parahu erupsi, semoga semua baik-baik saja. Al Fatihah

sumber vid : WA Grup yg udah adem karena sudah re…",Satrio Jati Prakoso,23128,513,"Indonesia, Bandung",False,0,266,2019-07-27 09:46:13
110,"RT @RadioElshinta: Tim Bid Dokkes Polda Jabar sore ini, Sabtu (27/7) bagikan masker dan cek kesehatan bagi para petugas yang berjaga di sek…",Muhammad Febrianika Kusuma,2754,24,syukurin dan nikmati saja,False,0,7,2019-07-27 09:46:10
111,"RT @SINDOnews: Gunung Tangkuban Parahu Erupsi, SPBU Pertamina Tetap Beroperasi https://t.co/KuFpSaca35",Koran Sindo,285421,59546,"Jakarta, Indonesia",True,0,2,2019-07-27 09:43:37
112,"Gunung Tangkuban Parahu Erupsi, SPBU Pertamina Tetap Beroperasi https://t.co/KuFpSaca35",SINDOnews,758927,259081,"Jakarta Pusat, DKI Jakarta",True,0,2,2019-07-27 09:43:07
113,"RT @OfficialiNewsTV: Gunung Tangkuban Parahu Berpotensi Erupsi Susulan, Ini Rekomendasi PVMBG

https://t.co/HqWHht8XHd",emka,86326,3939,Nusantara,False,0,2,2019-07-27 09:36:04
